place_id,puntaje,max_punt,score
ChIJVe-VihabP44R0jE4wmXCbLA,157,159,4.937106918238993
ChIJW9TkGYGZP44RbX3-mM6MO2c,148,156,4.743589743589744
ChIJWfINMiyaP44REeFZ8fk8DZ0,263,279,4.71326164874552
ChIJX9i7wSWaP44RafUnHBrKDLI,114,150,3.8
ChIJXwxYtiiaP44RKJNLKrqUW-M,134,150,4.466666666666667
ChIJYc1nMaSbP44R8cHbr9s81Nc,140,150,4.666666666666667
ChIJYecwviWaP44RNdStLutIERs,108,150,3.6
ChIJYfAB596bP44ROESlJHx1cUE,150,150,5.0
ChIJZXtOiimaP44RbnlegRkpxXE,160,168,4.761904761904762
ChIJZY7KBJeZP44RoQ2NOPswMYU,136,150,4.533333333333333
ChIJZYsKOyyaP44RnChAXZT1EII,144,150,4.8
ChIJ_xKZoxObP44R3s5_QMhvP5I,148,150,4.933333333333334
ChIJa0EJTW2bP44Ri-igo7LFIkY,142,150,4.733333333333333
ChIJa1Lm7TqbP44R6tGc9ikbMEE,148,150,4.933333333333334
ChIJa8QQ9KebP44Rkac5NKXZdAw,146,150,4.866666666666666
ChIJaysctoWZP44Rt1-qozyMq28,137,153,4.477124183006536
ChIJb17ZJtWbP44RLTsuEMWuIh0,144,150,4.8
ChIJbQV4giubP44RY0c2HtJmM9I,146,150,4.866666666666666
ChIJbfaCeyqaP44RdqnYkn5U6GQ,211,219,4.8173515981735155
ChIJd93M1yeaP44RUhHR-fWfa40,138,150,4.6
ChIJdUKa2y6aP44RPWAn4HQL058,146,150,4.866666666666666
ChIJe6pk7jmbP44RY8MkWeCTI4s,137,153,4.477124183006536
ChIJe8GuLyiaP44RO48EIfo23O4,144,150,4.8
ChIJeVHQ_iuaP44R_tD-mb_2NfA,134,150,4.466666666666667
ChIJeXnvx4aZP44RHa9BiIEWLWE,157,159,4.937106918238993
ChIJeaIbjyqaP44Rme3Zer1VQ_I,134,150,4.466666666666667
ChIJeeNuMkqZP44RM7dzCIlioUE,158,162,4.8765432098765435
ChIJf0o7YSiaP44RpvjsyRs40ns,152,156,4.871794871794871
ChIJf72OFLebP44RNzs8OxmDhUs,142,150,4.733333333333333
ChIJfXiGmyqaP44ReCje1oiB1IU,134,150,4.466666666666667
ChIJf_fYvyWaP44R5nmQoqSvzJs,146,150,4.866666666666666
ChIJg4zBPSqaP44RtrgjSGJvut4,146,150,4.866666666666666
ChIJgaH0F36ZP44RmNMqMqTYU3w,138,150,4.6
ChIJgbPHkCqaP44RA8VGUHUvD7A,164,174,4.712643678160919
ChIJgxe9ODSbP44RuhgNyJKgGfM,148,150,4.933333333333334
ChIJhYKXYCiaP44RhRXl9F9mSIA,145,153,4.738562091503268
ChIJi0LSpCiaP44RgI6nV6E8PSA,140,150,4.666666666666667
ChIJiS1gMTGaP44RdN8Tm7LsM64,140,150,4.666666666666667
ChIJj2bGV62bP44RLy-Lqd1kEjQ,142,150,4.733333333333333
ChIJk1kXCyaaP44REQLNaFCquJM,122,150,4.066666666666666
ChIJk2B93oubP44RDX4hWDZh_ak,146,150,4.866666666666666
ChIJkQCpfiiaP44RzKgT6RU1c7w,138,150,4.6
ChIJkVmB4iqaP44R8touL9Z5uKE,126,150,4.2
ChIJkyCmaEqbP44R_OxWI1cQLRg,151,153,4.934640522875817
ChIJl-qUSi-aP44Rvp_d9voiXWA,124,150,4.133333333333334
ChIJl8CChoaZP44RwRSBaY4AyQA,134,150,4.466666666666667
ChIJlTK-eCiaP44R_EBAP6zP_iM,174,180,4.833333333333333
ChIJl_y5QROZP44RhwVbrB-14WQ,146,150,4.866666666666666
ChIJmaBKqzibP44R7eTrGta9o10,142,150,4.733333333333333
ChIJmcV6WCyZP44RvEviCbxp7Tw,160,162,4.938271604938271
ChIJmyZSnCqaP44RPPTnfI7FlNE,196,198,4.94949494949495
ChIJnbDOOyyaP44RjYXDXxTkVsQ,156,156,5.0
ChIJo0_PK-qZP44R1jahNrnBxnk,150,150,5.0
ChIJoRGt1TabP44Re9Pga5FYlAQ,142,150,4.733333333333333
ChIJo_TzuIObP44RX9VAOufhMT0,128,150,4.266666666666667
ChIJpYPrGEybP44RRXUHnUJls3o,150,150,5.0
ChIJpxTD-SiaP44RnN-JibkdkBQ,136,150,4.533333333333333
ChIJq82kq9KbP44RwMG2X5A-e-I,144,150,4.8
ChIJqU2dLGibP44RlnscaAybgRk,136,150,4.533333333333333
ChIJr7v-VRKbP44RO8avKZj4-pY,124,150,4.133333333333334
ChIJr_86jaqbP44RvNFiHQeMFFs,136,150,4.533333333333333
ChIJraNibCqaP44R0WDuURBqvd4,138,150,4.6
ChIJrfZZRyyaP44RC4JTBHR9yrY,140,150,4.666666666666667
ChIJs018WyiaP44RegoO73bSZiI,122,150,4.066666666666666
ChIJsQFcAsSbP44RrP-8An8vdkU,132,150,4.4
ChIJs_lenIaZP44RaPr1KkwjrTk,132,150,4.4
ChIJsd76eyiaP44RRmmxysDBH9s,134,150,4.466666666666667
ChIJt-jH2tabP44Ra03yDRbhkOo,141,153,4.607843137254902
ChIJtblp-i-aP44R9_vSKWLlyGs,148,150,4.933333333333334
ChIJtetmG86bP44R-znjbgwnuNs,150,150,5.0
ChIJu1ELBIGZP44Rawt4fcdISGI,150,150,5.0
ChIJu1Wi14qbP44RaicKbd5Aock,116,150,3.8666666666666667
ChIJuwICiSiaP44RuZuxgOCA_2E,136,150,4.533333333333333
ChIJvRIRnS-aP44R10Lp_2zUN64,127,171,3.7134502923976607
ChIJvViR6nWbP44RCU4A1k_nTMA,146,150,4.866666666666666
ChIJw-C48gWbP44RdujFxWZEKgg,142,150,4.733333333333333
ChIJwa5RRCyaP44RlVd9rmz96lQ,142,156,4.551282051282051
ChIJxUamEuibP44RhhpdSi7pr7Y,150,156,4.8076923076923075
ChIJxezRZCuaP44R6e0mfp1zGyY,138,150,4.6
ChIJxw6QfCuaP44RmcQb1M7Cd84,135,159,4.245283018867925
ChIJy1llEjybP44RZE_LZ5QBvf4,142,162,4.382716049382716
ChIJy7u4lCiaP44RFC6fm8fP-k4,145,153,4.738562091503268
ChIJy8XZKYGZP44RlzeFfbv47Po,196,204,4.803921568627451
ChIJySiHmC6aP44RBJgZ1nIht8o,134,150,4.466666666666667
ChIJyTLREy-aP44RUn9Q4S9A7Dw,136,150,4.533333333333333
ChIJyzoAjaKbP44RHqFMKLJ9aGU,145,171,4.239766081871345
ChIJz3gJaS-aP44RQIwZJ44XpbM,136,150,4.533333333333333
ChIJz8zFMoeZP44Rs9VJ51cKues,144,150,4.8
ChIJzZaQDv-bP44RJZdRWaCeO7M,150,150,5.0
ChIJzwmuhyiaP44RKifCe9jrBIk,134,150,4.466666666666667
ChIJzxhobSuaP44RO1ut1AbUMFs,132,150,4.4
